seed,method,metric,value
0,sage_knn_k20,masked_num_mse,0.8728430271148682
0,sage_knn_k20,masked_cat_acc,0.7037240266799927
0,sage_knn_k20,n_params,9552.0
0,sage_knn_k20,best_step,2000.0
0,sage_knn_k20,train_seconds,223.3549337387085
0,sage_knn_k20,dim,16.0
0,mlp_ae_nomask,probe_auc,0.8771091781751237
0,mlp_ae_nomask,probe_ap,0.7102498881141639
0,mlp_ae_nomask,probe_acc,0.832705439133506
0,mlp_ae_nomask,probe_C,0.1
0,mlp_ae_nomask,lowlabel_auc@50,0.8028768428225183
0,mlp_ae_nomask,lowlabel_auc@200,0.8521154317427205
0,mlp_ae_nomask,lowlabel_auc@1000,0.8721053154577433
0,mlp_ae_nomask,knn_auc,0.8825955443517657
0,mlp_ae_nomask,knn_pos_p10,0.5650717703349283
0,mlp_ae_nomask,base_rate,0.2460560395573346
0,mlp_ae_nomask,recon_num_mse,0.0006233054446056485
0,mlp_ae_nomask,recon_cat_acc,0.9989908337593079
0,mlp_ae_nomask,masked_num_mse,1.0416300296783447
0,mlp_ae_nomask,masked_cat_acc,0.4394971430301666
0,mlp_ae_nomask,n_params,4816.0
0,mlp_ae_nomask,best_step,1950.0
0,mlp_ae_nomask,train_seconds,115.76383876800537
0,mlp_ae_nomask,dim,16.0
0,sage_selfloop_nomask,probe_auc,0.8857555385539542
0,sage_selfloop_nomask,probe_ap,0.7272928690423147
0,sage_selfloop_nomask,probe_acc,0.8357664233576643
0,sage_selfloop_nomask,probe_C,100.0
0,sage_selfloop_nomask,lowlabel_auc@50,0.8300053644701727
0,sage_selfloop_nomask,lowlabel_auc@200,0.8629686962992628
0,sage_selfloop_nomask,lowlabel_auc@1000,0.8813781084788515
0,sage_selfloop_nomask,knn_auc,0.8861540260423361
0,sage_selfloop_nomask,knn_pos_p10,0.5706698564593301
0,sage_selfloop_nomask,base_rate,0.2460560395573346
0,sage_selfloop_nomask,recon_num_mse,0.000508687284309417
0,sage_selfloop_nomask,recon_cat_acc,0.9991253614425659
